LocID,Location,VarID,Variant,Gender,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity,Age
4,Afghanistan,2,Medium,Male,2012.5,15964.874,15196.504,31161.378,47.731,49
4,Afghanistan,2,Medium,Male,2013.5,16554.278,15715.314,32269.592,49.428,22
4,Afghanistan,2,Medium,Male,2014.5,17138.803,16232.001,33370.804,51.115,31
4,Afghanistan,2,Medium,Male,2015.5,17686.166,16727.437,34413.603,52.712,53
4,Afghanistan,2,Medium,Male,2016.5,18186.994,17196.034,35383.028,54.197,91
4,Afghanistan,2,Medium,Male,2017.5,18651.985,17644.126,36296.111,55.596,16
4,Afghanistan,2,Medium,Male,2018.5,19093.043,18078.879,37171.922,56.937,29
4,Afghanistan,2,Medium,Male,2019.5,19529.727,18512.03,38041.757,58.269,49
4,Afghanistan,2,Medium,Male,2020.5,19976.265,18952.076,38928.341,59.627,22
4,Afghanistan,2,Medium,Male,2021.5,20434.981,19400.447,39835.428,61.017,31
4,Afghanistan,2,Medium,Male,2022.5,20900.542,19853.843,40754.385,62.424,53
4,Afghanistan,2,Medium,Male,2023.5,21370.629,20310.603,41681.232,63.844,91
4,Afghanistan,2,Medium,Male,2024.5,21840.937,20767.777,42608.714,65.265,16
4,Afghanistan,2,Medium,Female,2025.5,22308.331,21223.192,43531.523,66.678,95
4,Afghanistan,2,Medium,Female,2026.5,22772.561,21676.545,44449.106,68.084,28
4,Afghanistan,2,Medium,Female,2027.5,23234.943,22128.617,45363.56,69.484,40
4,Afghanistan,2,Medium,Female,2028.5,23695.674,22579.631,46275.305,70.881,30
4,Afghanistan,2,Medium,Female,2029.5,24155.17,23029.995,47185.165,72.275,50
4,Afghanistan,2,Medium,Female,2030.5,24613.64,23479.936,48093.576,73.666,23
4,Afghanistan,2,Medium,Female,2031.5,25070.887,23929.303,49000.19,75.055,32
4,Afghanistan,2,Medium,Female,2032.5,25526.394,24377.614,49904.008,76.439,54
4,Afghanistan,2,Medium,Female,2033.5,25979.603,24824.382,50803.985,77.818,92
4,Afghanistan,2,Medium,Female,2034.5,26429.846,25268.993,51698.839,79.188,17
4,Afghanistan,2,Medium,Female,2035.5,26876.517,25710.898,52587.415,80.549,30
4,Afghanistan,2,Medium,Female,2036.5,27319.205,26149.735,53468.94,81.9,50
4,Afghanistan,2,Medium,Female,2037.5,27757.638,26585.279,54342.917,83.238,23
4,Afghanistan,2,Medium,Female,2038.5,28191.408,27017.135,55208.543,84.564,32
4,Afghanistan,2,Medium,Female,2039.5,28620.148,27445.009,56065.157,85.876,54
4,Afghanistan,2,Medium,Female,2040.5,29043.466,27868.542,56912.008,87.173,92
4,Afghanistan,2,Medium,Female,2041.5,29461.026,28287.454,57748.48,88.455,17
4,Afghanistan,2,Medium,Female,2042.5,29872.461,28701.386,58573.847,89.719,96
4,Afghanistan,2,Medium,Female,2043.5,30277.283,29109.927,59387.21,90.965,29
4,Afghanistan,2,Medium,Female,2044.5,30674.976,29512.59,60187.566,92.191,41
4,Afghanistan,2,Medium,Female,2045.5,31065.109,29908.999,60974.108,93.395,31
4,Afghanistan,2,Medium,Male,2046.5,31447.316,30298.803,61746.119,94.578,51
4,Afghanistan,2,Medium,Male,2047.5,31821.361,30681.797,62503.158,95.737,24
4,Afghanistan,2,Medium,Male,2048.5,32187.123,31057.897,63245.02,96.874,33
4,Afghanistan,2,Medium,Male,2049.5,32544.597,31427.085,63971.682,97.987,55
4,Afghanistan,2,Medium,Male,2050.5,32893.674,31789.302,64682.976,99.076,93
4,Afghanistan,2,Medium,Male,2051.5,33234.157,32144.341,65378.498,100.142,18
4,Afghanistan,2,Medium,Male,2052.5,33565.757,32491.936,66057.693,101.182,31
4,Afghanistan,2,Medium,Male,2053.5,33888.239,32831.822,66720.061,102.197,51
4,Afghanistan,2,Medium,Male,2054.5,34201.356,33163.714,67365.07,103.185,24
4,Afghanistan,2,Medium,Male,2055.5,34504.862,33487.336,67992.198,104.145,33
4,Afghanistan,2,Medium,Male,2056.5,34798.585,33802.492,68601.077,105.078,55
4,Afghanistan,2,Medium,Male,2057.5,35082.309,34108.964,69191.273,105.982,93
4,Afghanistan,2,Medium,Male,2058.5,35355.755,34406.523,69762.278,106.856,18
4,Afghanistan,2,Medium,Male,2059.5,35618.617,34694.959,70313.576,107.701,97
4,Afghanistan,2,Medium,Male,2060.5,35870.653,34974.041,70844.694,108.514,30
4,Afghanistan,2,Medium,Male,2061.5,36111.681,35243.579,71355.26,109.296,42
4,Afghanistan,2,Medium,Male,2062.5,36341.567,35503.374,71844.941,110.046,32
4,Afghanistan,2,Medium,Male,2063.5,36560.171,35753.234,72313.405,110.764,52
4,Afghanistan,2,Medium,Male,2064.5,36767.342,35992.952,72760.294,111.449,25
4,Afghanistan,2,Medium,Male,2065.5,36962.959,36222.328,73185.287,112.1,34
4,Afghanistan,2,Medium,Male,2066.5,37146.965,36441.231,73588.196,112.717,56
4,Afghanistan,2,Medium,Male,2067.5,37319.334,36649.504,73968.838,113.3,94
4,Afghanistan,2,Medium,Male,2068.5,37480.009,36847.003,74327.012,113.848,19
4,Afghanistan,2,Medium,Male,2069.5,37628.99,37033.587,74662.577,114.362,32
4,Afghanistan,2,Medium,Male,2070.5,37766.272,37209.132,74975.404,114.841,52
4,Afghanistan,2,Medium,Male,2071.5,37891.874,37373.572,75265.446,115.286,25
4,Afghanistan,2,Medium,Male,2072.5,38005.895,37526.832,75532.727,115.695,34
4,Afghanistan,2,Medium,Male,2073.5,38108.542,37668.781,75777.323,116.07,56
4,Afghanistan,2,Medium,Male,2074.5,38200.131,37799.34,75999.471,116.41,94
4,Afghanistan,2,Medium,Male,2075.5,38280.905,37918.438,76199.343,116.716,19
4,Afghanistan,2,Medium,Male,2076.5,38351.049,38026.065,76377.114,116.989,98
4,Afghanistan,2,Medium,Male,2077.5,38410.68,38122.25,76532.93,117.227,31
4,Afghanistan,2,Medium,Male,2078.5,38459.839,38207.102,76666.941,117.432,43
4,Afghanistan,2,Medium,Male,2079.5,38498.553,38280.746,76779.299,117.605,33
4,Afghanistan,2,Medium,Male,2080.5,38526.92,38343.309,76870.229,117.744,53
4,Afghanistan,2,Medium,Male,2081.5,38545.101,38394.91,76940.011,117.851,26
4,Afghanistan,2,Medium,Male,2082.5,38553.376,38435.674,76989.05,117.926,35
4,Afghanistan,2,Medium,Male,2083.5,38552.021,38465.741,77017.762,117.97,57
4,Afghanistan,2,Medium,Male,2084.5,38541.382,38485.284,77026.666,117.983,95
4,Afghanistan,2,Medium,Male,2085.5,38521.777,38494.485,77016.262,117.967,20
4,Afghanistan,2,Medium,Male,2086.5,38493.465,38493.545,76987.01,117.923,33
4,Afghanistan,2,Medium,Male,2087.5,38456.731,38482.683,76939.414,117.85,53
4,Afghanistan,2,Medium,Male,2088.5,38411.948,38462.146,76874.094,117.75,26
4,Afghanistan,2,Medium,Male,2089.5,38359.512,38432.209,76791.721,117.624,35
4,Afghanistan,2,Medium,Female,2090.5,38299.808,38393.168,76692.976,117.472,57
4,Afghanistan,2,Medium,Female,2091.5,38233.156,38345.293,76578.449,117.297,95
4,Afghanistan,2,Medium,Female,2092.5,38159.87,38288.875,76448.745,117.098,20
4,Afghanistan,2,Medium,Female,2093.5,38080.223,38224.203,76304.426,116.877,99
4,Afghanistan,2,Medium,Female,2094.5,37994.477,38151.583,76146.06,116.635,32
4,Afghanistan,2,Medium,Female,2095.5,37902.92,38071.343,75974.263,116.371,44
4,Afghanistan,2,Medium,Female,2096.5,37805.856,37983.823,75789.679,116.089,34
4,Afghanistan,2,Medium,Female,2097.5,37703.619,37889.393,75593.012,115.787,54
4,Afghanistan,2,Medium,Female,2098.5,37596.553,37788.419,75384.972,115.469,27
4,Afghanistan,2,Medium,Female,2099.5,37485.029,37681.331,75166.36,115.134,36
4,Afghanistan,2,Medium,Female,2100.5,37369.44,37568.521,74937.961,114.784,58
4,Afghanistan,3,High,Male,2020.5,19976.265,18952.076,38928.341,59.627,96
4,Afghanistan,3,High,Male,2021.5,20465.385,19427.172,39892.557,61.104,21
4,Afghanistan,3,High,Male,2022.5,20964.091,19911.702,40875.793,62.61,34
4,Afghanistan,3,High,Male,2023.5,21470.586,20404.009,41874.595,64.14,54
4,Afghanistan,3,High,Male,2024.5,21983.507,20902.813,42886.32,65.69,27
4,Afghanistan,3,High,Male,2025.5,22501.915,21407.262,43909.177,67.257,36
4,Afghanistan,3,High,Male,2026.5,23025.31,21916.907,44942.217,68.839,58
4,Afghanistan,3,High,Male,2027.5,23553.635,22431.704,45985.339,70.437,96
4,Afghanistan,3,High,Male,2028.5,24087.135,22951.966,47039.101,72.051,21
4,Afghanistan,3,High,Male,2029.5,24626.339,23478.173,48104.512,73.683,75
4,Afghanistan,3,High,Male,2030.5,25171.587,24010.707,49182.294,75.334,33
4,Afghanistan,3,High,Male,2031.5,25722.708,24549.434,50272.142,77.003,45
4,Afghanistan,3,High,Male,2032.5,26278.651,25093.378,51372.029,78.688,35
4,Afghanistan,3,High,Male,2033.5,26837.332,25640.579,52477.911,80.382,55
4,Afghanistan,3,High,Male,2034.5,27396.063,26188.518,53584.581,82.077,28
4,Afghanistan,3,High,Male,2035.5,27952.788,26735.25,54688.038,83.767,37
4,Afghanistan,3,High,Male,2036.5,28506.551,27279.898,55786.449,85.449,59
4,Afghanistan,3,High,Male,2037.5,29057.361,27822.497,56879.858,87.124,97
4,Afghanistan,3,High,Male,2038.5,29605.225,28363.094,57968.319,88.791,22
4,Afghanistan,3,High,Male,2039.5,30150.543,28902.086,59052.629,90.452,35
4,Afghanistan,3,High,Female,2040.5,30693.579,29439.788,60133.367,92.108,55
4,Afghanistan,3,High,Female,2041.5,31234.102,29975.981,61210.083,93.757,28
4,Afghanistan,3,High,Female,2042.5,31771.738,30510.334,62282.072,95.399,37
4,Afghanistan,3,High,Female,2043.5,32306.521,31042.884,63349.405,97.034,59
4,Afghanistan,3,High,Male,2044.5,32838.514,31573.726,64412.24,98.662,97
4,Afghanistan,3,High,Male,2045.5,33367.801,32102.948,65470.749,100.283,75
4,Afghanistan,3,High,Male,2046.5,33894.26,32630.441,66524.701,101.897,85
4,Afghanistan,3,High,Male,2047.5,34417.854,33156.165,67574.019,103.505,34
4,Afghanistan,3,High,Male,2048.5,34938.86,33680.425,68619.285,105.106,46
4,Afghanistan,3,High,Male,2049.5,35457.646,34203.569,69661.215,106.702,36
4,Afghanistan,3,High,Male,2050.5,35974.411,34725.815,70700.226,108.293,56
4,Afghanistan,3,High,Male,2051.5,36489.116,35247.117,71736.233,109.88,29
4,Afghanistan,3,High,Male,2052.5,37001.505,35767.233,72768.738,111.461,38
4,Afghanistan,3,High,Male,2053.5,37511.354,36285.919,73797.273,113.037,60
4,Afghanistan,3,High,Female,2054.5,38018.379,36802.827,74821.206,114.605,98
4,Afghanistan,3,High,Female,2055.5,38522.222,37317.612,75839.834,116.166,23
4,Afghanistan,3,High,Female,2056.5,39022.694,37830.032,76852.726,117.717,36
4,Afghanistan,3,High,Female,2057.5,39519.448,38339.778,77859.226,119.259,56
4,Afghanistan,3,High,Female,2058.5,40011.855,38846.257,78858.112,120.789,29
4,Afghanistan,3,High,Female,2059.5,40499.17,39348.8,79847.97,122.305,38
4,Afghanistan,3,High,Female,2060.5,40980.731,39846.805,80827.536,123.805,60
4,Afghanistan,3,High,Female,2061.5,41456.199,40339.904,81796.103,125.289,98
4,Afghanistan,3,High,Female,2062.5,41925.295,40827.777,82753.072,126.755,23
4,Afghanistan,3,High,Female,2063.5,42387.569,41309.928,83697.497,128.201,24
4,Afghanistan,3,High,Female,2064.5,42842.514,41785.812,84628.326,129.627,35
4,Afghanistan,3,High,Female,2065.5,43289.78,42255.007,85544.787,131.031,47
4,Afghanistan,3,High,Female,2066.5,43729.125,42717.196,86446.321,132.412,37
4,Afghanistan,3,High,Female,2067.5,44160.42,43172.172,87332.592,133.769,57
